Timestamp,Coverage_Area,Longitude,Latitude,Volume,Days
2023-06-01,4.5593040241493314,120.60082374909668,33.360801194842026,103.81469100625002,0
2023-06-02,1.3933959466666668,119.96229288451013,32.741599082568804,9.650901682813785,1
2023-06-03,21.67727328,122.21226091954023,34.00460504587156,556.616561826999,2
2023-06-04,0.96601376,122.26617389162561,35.68861299694189,64.5828284268836,3
2023-06-05,0.45202272000000004,120.14200279146141,35.24620412844037,12.872321093003546,4
2023-06-06,0.45276088746666665,119.97595083743819,34.663270980631985,10.912816531632805,5
2023-06-07,0.45537802666666666,119.387221182266,32.59650800203874,3.9654821776820426,6
2023-06-08,0.6932902400000001,120.49782840722496,31.607034403669726,0.9233625730088134,7
2023-06-09,11.99920576,121.16634926108374,34.00460504587156,344.04476106320334,8
2023-06-10,11.040741440000001,121.86721789819376,33.32672048929663,261.3719392475219,9
2023-06-11,7.2801766400000005,123.35521592775041,32.67024281345566,220.18358937268198,10
2023-06-12,9.34526304,119.41956896551724,33.148329816513765,9.692849464199169,11
2023-06-13,4.43246496,121.10165369458129,34.39706452599388,251.90236920226747,12
2023-06-14,5.28350704,119.89400311986864,34.41490359327217,108.6619819060238,13
2023-06-15,23.623456,122.28773908045977,33.79053623853211,660.3938015597479,14
2023-06-16,4.603900159999999,122.68669507389163,34.960779051987764,213.52843802399832,15
2023-06-17,3.588395626666667,119.99823486590039,32.2468622833843,43.09068726274952,16
2023-06-18,1.80368704,122.13678275862068,35.1177628440367,126.38601392902308,17
2023-06-19,0.01478432,120.2929591133005,35.62439235474006,0.22091048787766454,18
2023-06-20,0.07486527999999999,120.86982791461412,31.888891666666666,2.2792721320486162,19
2023-06-21,4.8034884799999995,120.08808981937602,32.50612339449542,120.74089110485477,20
2023-06-22,6.049319088000007,120.36681988505734,32.57441134403668,123.14780886351662,21
2023-06-23,10.466354879999999,121.35504466338259,32.81652316513761,131.68142637149901,22
2023-06-24,1.4771737600000001,119.72507580733442,33.31482777777777,21.2972713028255,23
2023-06-25,0.047184000000000004,123.3120855500821,31.79969633027523,3.138784528550068,24
2023-06-26,0.22601136,119.42496026272579,33.03415978593272,6.19560704868902,25
2023-06-27,12.84411392,121.33887077175697,34.3114370030581,411.235051913125,26
2023-06-28,7.51515296,122.49260837438423,33.20541483180428,357.3086220309248,27
2023-06-29,1.5887377066666668,119.81133656267104,32.35865377166157,19.572472763547164,28
2023-06-30,0.9380179200000001,120.56791527093597,33.12692293577982,48.42440980151731,29
2023-07-01,1.34568768,119.57052528735633,34.5718873853211,19.774383090345157,30
2023-07-02,0.47781664,122.52495615763547,31.721204434250765,38.70485759036216,31
2023-07-03,7.482753280000001,120.74582807881774,33.412348012232414,93.00950689087932,32
2023-07-04,2.28276192,121.86721789819376,32.09939266055046,86.26564896584622,33
2023-07-05,11.96366048,122.82686880131362,34.16158883792049,697.3097038991592,34
2023-07-06,3.4566998399999997,119.92095960591134,33.373102064220184,63.816307877963915,35
2023-07-07,2.61273536,120.91834958949097,34.8323377675841,124.75490253837656,36
